n_estimators,min_samples_leaf,train_rows,water_mae,water_r2,nutrient_macro_r2,decision_accuracy,fit_seconds
100,1,28800,0.3051652777777778,0.9903840832241839,0.9697937696683363,0.9372222222222222,0.4880307000130415
100,2,28800,0.3242113657407408,0.9888144116069691,0.9640690470724378,0.9380555555555555,0.46282380004413426
100,4,28800,0.3442912725970018,0.9885329377000429,0.9561154666122627,0.9277777777777778,0.4587745000026189
200,1,28800,0.3125659722222223,0.9901896501114827,0.9696665629586864,0.9408333333333333,0.8818614999763668
200,2,28800,0.32946008101851854,0.9896446265530606,0.9659682823816794,0.9347222222222222,0.8427149999770336
200,4,28800,0.3473718446318342,0.9886325473224169,0.9577195272254402,0.9358333333333333,0.8512094000470825
350,1,28800,0.3266996031746033,0.9898314790864818,0.9679648257669374,0.9394444444444444,1.4964982999954373
350,2,28800,0.33900669312169307,0.9893224189019116,0.9660673562218162,0.9311111111111111,1.4048953999881633
350,4,28800,0.3528627048689845,0.9882894181591136,0.9568815559844256,0.9386111111111111,1.3744264999986626
500,1,28800,0.33072477777777753,0.9897051491423127,0.9684343397936722,0.9344444444444444,2.1005301999975927
500,2,28800,0.33348885185185195,0.9896093967081844,0.966728369139427,0.9358333333333333,2.0262938999803737
500,4,28800,0.3549753223324514,0.9885591104787551,0.9564762352699079,0.9377777777777778,1.958147800003644
